x	y	lat	lon
485	1282	42.82	-2.09
529	1284	42.82	-1.62
574	1284	42.83	-1.13
619	1285	42.82	-0.64
662	1286	42.82	-0.18
707	1285	42.82	0.31
751	1284	42.83	0.78
795	1284	42.82	1.26
840	1283	42.82	1.74
885	1282	42.82	2.23
928	1281	42.81	2.69
973	1279	42.81	3.18
1018	1277	42.80	3.67
1062	1274	42.80	4.14
1107	1272	42.79	4.63
1151	1268	42.80	5.10
1194	1264	42.80	5.57
1239	1262	42.78	6.06
1284	1258	42.77	6.54
1328	1254	42.76	7.02
1373	1249	42.76	7.51
1416	1244	42.75	7.97
1460	1239	42.74	8.45
1505	1233	42.74	8.94
1550	1230	42.70	9.43
1593	1223	42.70	9.89
1637	1217	42.69	10.37
1681	1211	42.67	10.85
36	1321	42.23	-6.86
81	1325	42.24	-6.38
215	1333	42.28	-4.95
439	1343	42.31	-2.56
485	1345	42.31	-2.07
528	1345	42.32	-1.61
574	1345	42.33	-1.12
619	1345	42.33	-0.64
663	1345	42.34	-0.17
708	1346	42.33	0.31
752	1345	42.33	0.78
797	1344	42.33	1.26
843	1341	42.35	1.76
886	1341	42.34	2.21
932	1341	42.32	2.70
976	1340	42.31	3.17
1021	1337	42.32	3.66
1066	1335	42.31	4.14
1111	1332	42.30	4.62
1154	1328	42.31	5.08
1199	1325	42.30	5.56
1245	1321	42.29	6.05
1288	1317	42.29	6.51
1333	1312	42.29	7.00
1379	1309	42.27	7.49
1422	1304	42.26	7.95
1467	1300	42.24	8.43
1511	1294	42.24	8.90
1556	1289	42.22	9.38
1601	1284	42.20	9.86
1645	1277	42.20	10.34
1690	1272	42.17	10.82
32	1381	41.74	-6.82
77	1384	41.76	-6.35
438	1404	41.82	-2.54
483	1405	41.82	-2.06
528	1405	41.83	-1.59
573	1405	41.84	-1.11
618	1406	41.84	-0.64
664	1406	41.84	-0.15
709	1406	41.84	0.32
754	1406	41.84	0.80
800	1405	41.84	1.28
843	1403	41.85	1.73
888	1402	41.84	2.21
933	1400	41.84	2.69
978	1397	41.85	3.16
1023	1396	41.84	3.64
1069	1395	41.82	4.12
1114	1392	41.82	4.60
1159	1388	41.82	5.07
1203	1386	41.80	5.54
1249	1382	41.80	6.02
1295	1376	41.81	6.51
1339	1375	41.78	6.97
1385	1369	41.78	7.46
1430	1364	41.77	7.94
1474	1360	41.75	8.41
1517	1356	41.73	8.86
1564	1350	41.72	9.36
1609	1344	41.71	9.84
1653	1338	41.70	10.30
1698	1331	41.69	10.78
28	1442	41.25	-6.79
73	1445	41.26	-6.32
118	1448	41.28	-5.85
164	1450	41.30	-5.37
208	1454	41.30	-4.91
254	1456	41.31	-4.43
301	1458	41.32	-3.94
345	1460	41.33	-3.48
391	1463	41.32	-3.00
436	1463	41.34	-2.53
481	1464	41.35	-2.06
526	1465	41.35	-1.59
574	1466	41.35	-1.09
618	1466	41.35	-0.63
664	1466	41.36	-0.15
709	1467	41.35	0.32
755	1466	41.35	0.80
800	1464	41.36	1.27
845	1463	41.36	1.74
891	1463	41.35	2.22
935	1461	41.35	2.68
982	1459	41.35	3.17
1028	1457	41.34	3.65
1072	1454	41.34	4.11
1118	1451	41.34	4.59
1163	1448	41.33	5.06
1208	1445	41.33	5.53
1254	1441	41.32	6.01
1300	1438	41.31	6.49
1345	1433	41.30	6.96
1390	1430	41.28	7.43
1436	1425	41.28	7.91
1480	1420	41.27	8.37
